pid,name,birthdate,college,height,weight,current_team,,,
325,Kevon Looney,6-Feb-96,"University of California, Los Angeles",6-1,179,Golden State Warriors,,,
326,Brook Lopez,1-Apr-88,Stanford University,6-11,230,Los Angeles Lakers,,,
327,Robin Lopez,1-Apr-88,Stanford University,6-11,228,Chicago Bulls,,,
328,Kevin Love,7-Sep-88,"University of California, Los Angeles",7-0,241,Cleveland Cavaliers,,,
329,Kyle Lowry,25-Mar-86,Villanova University,7-0,245,Toronto Raptors,,,
330,John Lucas III,21-Nov-82,Oklahoma State University,6-5,190,Free Agent,,,
331,Timothe Luwawu-Cabarrot,9-May-95,,7-0,280,Free Agent,,,
332,Tyler Lydon,9-Apr-96,Syracuse University,6-4,209,Denver Nuggets,,,
333,Trey Lyles,5-Nov-95,University of Kentucky,6-9,257,Denver Nuggets,,,
334,Sheldon Mac,21-Dec-92,University of Miami,6-6,215,Free Agent,,,
335,Shelvin Mack,22-Apr-90,Butler University,6-10,250,Orlando Magic,,,
336,Josh Magette,28-Nov-89,Alabama - Huntsville,6-7,241,Atlanta Hawks,,,
337,Ian Mahinmi,5-Nov-86,,6-11,275,Free Agent,,,
338,Thon Maker,25-Feb-97,,6-4,210,Milwaukee Bucks,,,
339,Boban Marjanovic,15-Aug-88,,7-0,238,Free Agent,,,
340,Lauri Markkanen,22-May-97,University of Arizona,6-8,210,Chicago Bulls,,,
341,Jarell Martin,24-May-94,Louisiana State University,6-7,205,Memphis Grizzlies,,,
342,Frank Mason,3-Apr-94,University of Kansas,6-11,270,Sacramento Kings,,,
343,Mangok Mathiang,8-Oct-92,University of Louisville,6-1,175,Charlotte Bobcats,,,
344,Wesley Matthews,14-Oct-86,Marquette University,7-1,240,Dallas Mavericks,,,
345,Luc Mbah a Moute,9-Sep-86,"University of California, Los Angeles",6-2,185,Free Agent,,,
346,James Michael McAdoo,4-Jan-93,University of North Carolina,6-10,230,Philadelphia 76ers,,,
347,Patrick McCaw,25-Oct-95,"University of Nevada, Las Vegas",6-9,230,Golden State Warriors,,,
348,C.J. McCollum,19-Sep-91,Lehigh University,6-4,200,Portland Trail Blazers,,,
349,T.J. McConnell,25-Mar-92,University of Arizona,6-0,175,Philadelphia 76ers,,,
350,Chris McCullough,5-Feb-95,Syracuse University,6-10,237,Free Agent,,,
351,K.J. McDaniels,9-Feb-93,Clemson University,6-4,185,Free Agent,,,
352,Doug McDermott,3-Jan-92,Creighton University,6-3,190,Dallas Mavericks,,,
353,JaVale McGee,19-Jan-88,"University of Nevada, Reno",6-2,200,Golden State Warriors,,,
354,Rodney McGruder,29-Jul-91,Kansas State University,6-9,232,Miami Heat,,,
355,Alfonzo McKinnie,17-Sep-92,University of Wisconsin-Green Bay,6-11,245,Toronto Raptors,,,
356,Ben McLemore,11-Feb-93,University of Kansas,6-11,249,Memphis Grizzlies,,,
357,Jordan McRae,28-Mar-91,University of Tennessee,7-0,248,Free Agent,,,
358,Josh McRoberts,28-Feb-87,Duke University,6-7,220,Dallas Mavericks,,,
359,Jodie Meeks,21-Aug-87,University of Kentucky,6-8,198,Free Agent,,,
360,Salah Mejri,15-Jun-86,,6-11,230,Dallas Mavericks,,,
361,Jordan Mickey,9-Jul-94,Louisiana State University,7-3,240,Miami Heat,,,
362,Khris Middleton,12-Aug-91,Texas A&M University,6-11,240,Milwaukee Bucks,,,
363,C.J. Miles,18-Apr-87,,6-4,215,Toronto Raptors,,,
364,Darius Miller,21-Mar-90,University of Kentucky,6-7,238,New Orleans Hornets,,,
365,Malcolm Miller,6-Mar-93,College of the Holy Cross,6-1,200,Toronto Raptors,,,
366,Mike Miller,19-Feb-80,University of Florida,7-1,210,Free Agent,,,
367,Patty Mills,11-Aug-88,Saint Mary's College of California,6-10,220,Free Agent,,,
368,Elijah Millsap,12-Aug-87,University of Alabama at Birmingham,6-9,250,Free Agent,,,
369,Paul Millsap,10-Feb-85,Louisiana Tech University,6-9,260,Denver Nuggets,,,
370,Nikola Mirotic,11-Feb-91,,6-4,190,Free Agent,,,
371,Donovan Mitchell,7-Sep-96,University of Louisville,6-10,220,Utah Jazz,,,
372,Malik Monk,4-Feb-98,University of Kentucky,6-6,200,Charlotte Bobcats,,,
373,Greg Monroe,4-Jun-90,Georgetown University,6-6,205,Boston Celtics,,,
374,E'Twaun Moore,28-Feb-89,Purdue University,6-4,200,New Orleans Hornets,,,
375,Eric Moreland,24-Dec-91,Oregon State University,6-7,210,Detroit Pistons,,,
376,Marcus Morris,2-Sep-89,University of Kansas,6-1,186,Boston Celtics,,,
377,Markieff Morris,2-Sep-89,University of Kansas,6-3,190,Free Agent,,,
378,Monte Morris,27-Jun-95,Iowa State University,6-7,206,Denver Nuggets,,,
379,Anthony Morrow,27-Sep-85,Georgia Institute of Technology,6-2,190,Free Agent,,,
380,Donatas Motiejunas,20-Sep-90,,6-4,194,Free Agent,,,
381,Johnathan Motley,4-May-95,Baylor University,6-5,195,Dallas Mavericks,,,
382,Timofey Mozgov,16-Jul-86,,6-11,240,Brooklyn Nets,,,
383,Emmanuel Mudiay,5-Mar-96,,6-9,214,New York Knicks,,,
384,Shabazz Muhammad,13-Nov-92,"University of California, Los Angeles",6-10,223,Milwaukee Bucks,,,
385,Dejounte Murray,19-Sep-96,University of Washington,6-7,210,San Antonio Spurs,,,
386,Jamal Murray,23-Feb-97,University of Kentucky,6-1,172,Denver Nuggets,,,
387,Mike Muscala,1-Jul-91,Bucknell University,6-8,237,Atlanta Hawks,,,
388,Abdel Nader,25-Sep-93,Iowa State University,6-7,220,Boston Celtics,,,
389,Larry Nance,1-Jan-93,University of Wyoming,6-5,230,Free Agent,,,
390,Shabazz Napier,14-Jul-91,University of Connecticut,6-3,190,Portland Trail Blazers,,,
391,Maurice Ndour,18-Jun-92,Ohio University,6-5,220,Free Agent,,,
392,Gary Neal,3-Oct-84,Towson University,6-9,230,Free Agent,,,
393,Jameer Nelson,9-Feb-82,Saint Joseph's University,6-10,230,Detroit Pistons,,,
394,Raul Neto,19-May-92,,6-6,195,Free Agent,,,
395,Georges Niang,17-Jun-93,Iowa State University,6-5,166,Utah Jazz,,,
396,Andrew Nicholson,8-Dec-89,St. Bonaventure University,6-8,228,Free Agent,,,
397,Joakim Noah,25-Feb-85,University of Florida,6-4,220,New York Knicks,,,
398,Nerlens Noel,10-Apr-94,University of Kentucky,6-3,195,Dallas Mavericks,,,
399,Lucas Nogueira,26-Jul-92,,6-0,175,Toronto Raptors,,,
400,Steve Novak,13-Jun-83,Marquette University,6-6,225,Free Agent,,,
401,Dirk Nowitzki,19-Jun-78,,7-0,245,Dallas Mavericks,,,
402,Frank Ntilikina,28-Jul-98,,6-9,225,New York Knicks,,,
403,Jusuf Nurkic,23-Aug-94,,6-7,200,Portland Trail Blazers,,,
404,David Nwaba,14-Jan-93,"California Polytechnic State University, San Luis Obispo",6-10,255,Chicago Bulls,,,
405,Johnny O'Bryant,1-Jun-93,Louisiana State University,6-6,205,Charlotte Bobcats,,,
406,Royce O'Neale,5-Jun-93,Baylor University,6-5,230,Utah Jazz,,,
407,Kyle O'Quinn,26-Mar-90,Norfolk State University,6-6,200,New York Knicks,,,
408,Daniel Ochefu,15-Dec-93,Villanova University,6-8,250,Free Agent,,,
409,Semi Ojeleye,5-Dec-94,Southern Methodist University,6-8,205,Boston Celtics,,,
410,Jahlil Okafor,15-Dec-95,Duke University,6-3,170,Brooklyn Nets,,,
411,Victor Oladipo,4-May-92,Indiana University,6-2,186,Indiana Pacers,,,
412,Kelly Olynyk,19-Apr-91,Gonzaga University,6-9,242,Miami Heat,,,
413,Arinze Onuaku,13-Jul-87,Syracuse University,6-6,195,Free Agent,,,
414,Chinanu Onuaku,1-Nov-96,University of Louisville,6-5,196,Houston Rockets,,,
415,Cedi Osman,8-Apr-95,,6-2,185,Cleveland Cavaliers,,,
416,Kelly Oubre,9-Dec-95,University of Kansas,6-9,215,Free Agent,,,
417,Zaza Pachulia,10-Feb-84,,6-8,235,Golden State Warriors,,,
418,Marcus Paige,11-Sep-93,University of North Carolina,6-7,215,Charlotte Bobcats,,,
419,Georgios Papagiannis,3-Jul-97,,6-9,238,Portland Trail Blazers,,,
420,Jabari Parker,15-Mar-95,Duke University,6-5,212,Milwaukee Bucks,,,
421,Tony Parker,17-May-82,,6-8,240,San Antonio Spurs,,,
422,Chandler Parsons,25-Oct-88,University of Florida,7-0,244,Memphis Grizzlies,,,
423,Lamar Patterson,12-Aug-91,University of Pittsburgh,6-6,245,Free Agent,,,
424,Patrick Patterson,14-Mar-89,University of Kentucky,6-7,220,Oklahoma City Thunder,,,
425,Brandon Paul,30-Apr-91,University of Illinois at Urbana-Champaign,6-11,243,San Antonio Spurs,,,
426,Chris Paul,6-May-85,Wake Forest University,6-10,240,Houston Rockets,,,
427,Adreian Payne,19-Feb-91,Michigan State University,5-10,150,Orlando Magic,,,
428,Cameron Payne,8-Aug-94,Murray State University,7-0,265,Chicago Bulls,,,
429,Elfrid Payton,22-Feb-94,University of Louisiana at Lafayette,6-6,212,Phoenix Suns,,,
430,Gary Payton,1-Dec-92,Oregon State University,6-0,195,Free Agent,,,
431,London Perrantes,3-Oct-94,University of Virginia,6-6,202,Cleveland Cavaliers,,,
432,Alec Peters,13-Apr-95,Valparaiso University,6-10,240,Phoenix Suns,,,
433,Paul Pierce,13-Oct-77,University of Kansas,7-0,260,Free Agent,,,
434,Marshall Plumlee,14-Jul-92,Duke University,6-4,220,Milwaukee Bucks,,,
435,Mason Plumlee,5-Mar-90,Duke University,6-4,225,Denver Nuggets,,,
436,Miles Plumlee,1-Sep-88,Duke University,6-1,172,Atlanta Hawks,,,
437,Jakob Poeltl,15-Oct-95,University of Utah,6-4,195,Free Agent,,,
438,Quincy Pondexter,10-Mar-88,University of Washington,6-8,220,Chicago Bulls,,,
439,Otto Porter,3-Jun-93,Georgetown University,6-1,189,Free Agent,,,
440,Bobby Portis,10-Feb-95,University of Arkansas,6-8,230,Chicago Bulls,,,
441,Kristaps Porzingis,2-Aug-95,,6-2,165,Free Agent,,,
442,Dwight Powell,20-Jul-91,Stanford University,6-9,250,Dallas Mavericks,,,
443,Norman Powell,25-May-93,"University of California, Los Angeles",6-3,200,Toronto Raptors,,,
444,Alex Poythress,6-Sep-93,University of Kentucky,6-5,190,Indiana Pacers,,,
445,Ronnie Price,21-Jun-83,Utah Valley State College,6-8,204,Free Agent,,,
446,Jacob Pullen,10-Nov-89,Kansas State University,6-4,213,Philadelphia 76ers,,,
447,Zhou Qi,16-Jan-96,,7-0,265,Houston Rockets,,,
448,Tim Quarterman,27-Oct-94,Louisiana State University,6-8,199,Houston Rockets,,,
449,Ivan Rabb,4-Feb-97,University of California,6-7,215,Memphis Grizzlies,,,
450,Chasson Randle,5-Feb-93,Stanford University,6-6,225,Free Agent,,,
451,Julius Randle,29-Nov-94,University of Kentucky,6-5,225,Los Angeles Lakers,,,
452,Zach Randolph,16-Jul-81,Michigan State University,6-1,175,Sacramento Kings,,,
453,J.J. Redick,24-Jun-84,Duke University,6-9,237,Philadelphia 76ers,,,
454,Willie Reed,16-May-90,Saint Louis University,6-5,210,Detroit Pistons,,,
455,Josh Richardson,15-Sep-93,University of Tennessee,6-7,218,Miami Heat,,,
456,Malachi Richardson,5-Jan-96,Syracuse University,6-10,234,Toronto Raptors,,,
457,Austin Rivers,1-Aug-92,Duke University,6-7,230,Los Angeles Clippers,,,
458,Andre Roberson,4-Dec-91,University of Colorado,6-7,225,Free Agent,,,
459,Brian Roberts,3-Dec-85,University of Dayton,7-0,231,Free Agent,,,
460,Glenn Robinson,8-Jan-94,University of Michigan,6-4,190,Indiana Pacers,,,
461,Thomas Robinson,17-Mar-91,University of Kansas,6-10,210,Free Agent,,,
462,Sergio Rodriguez,12-Jun-86,,6-5,183,Free Agent,,,
463,Rajon Rondo,22-Feb-86,University of Kentucky,6-7,260,New Orleans Hornets,,,
464,Derrick Rose,4-Oct-88,University of Memphis,6-2,180,Minnesota Timberwolves,,,
465,Terrence Ross,5-Feb-91,University of Washington,6-7,210,Orlando Magic,,,
466,Terry Rozier,17-Mar-94,University of Louisville,6-8,221,Boston Celtics,,,
467,Ricky Rubio,21-Oct-90,,7-0,240,Utah Jazz,,,
468,Damjan Rudez,17-Jun-86,,7-0,253,Free Agent,,,
469,Brandon Rush,7-Jul-85,University of Kansas,6-8,215,Free Agent,,,
470,D'Angelo Russell,23-Feb-96,Ohio State University,6-11,250,Brooklyn Nets,,,
471,Domantas Sabonis,3-May-96,Gonzaga University,7-1,265,Indiana Pacers,,,
472,JaKarr Sampson,20-Mar-93,St. John's University,,,Sacramento Kings,,,
473,Larry Sanders,21-Nov-88,Virginia Commonwealth University,,,Free Agent,,,
474,Dario Saric,8-Apr-94,,,,Philadelphia 76ers,,,
475,Tomas Satoransky,30-Oct-91,,,,Free Agent,,,
476,Dennis Schroder,15-Sep-93,,,,Free Agent,,,
477,Luis Scola,30-Apr-80,,,,Free Agent,,,
478,Mike Scott,16-Jul-88,University of Virginia,,,Free Agent,,,
479,Thabo Sefolosha,2-May-84,,,,Utah Jazz,,,
480,Wayne Selden,30-Sep-94,University of Kansas,,,Memphis Grizzlies,,,
481,Kevin Seraphin,7-Dec-89,,,,Free Agent,,,
482,Ramon Sessions,11-Apr-86,"University of Nevada, Reno",,,Free Agent,,,
483,Iman Shumpert,26-Jun-90,Georgia Institute of Technology,,,Cleveland Cavaliers,,,
484,Pascal Siakam,4-Feb-94,New Mexico State University,,,Toronto Raptors,,,
485,Ben Simmons,20-Jul-96,Louisiana State University,,,Philadelphia 76ers,,,
486,Jonathon Simmons,14-Sep-89,University of Houston,,,Orlando Magic,,,
487,Kobi Simmons,4-Jul-97,University of Arizona,,,Memphis Grizzlies,,,
488,Kyle Singler,4-May-88,Duke University,,,Oklahoma City Thunder,,,
489,Marcus Smart,6-Mar-94,Oklahoma State University,,,Boston Celtics,,,
490,Dennis Smith,25-Nov-97,North Carolina State University,,,Dallas Mavericks,,,
491,Ish Smith,5-Jul-88,Wake Forest University,,,Free Agent,,,
492,J.R. Smith,9-Sep-85,,,,Cleveland Cavaliers,,,
493,Jason Smith,2-Mar-86,Colorado State University,,,Free Agent,,,
494,Josh Smith,5-Dec-85,,,,New Orleans Hornets,,,
495,Tony Snell,10-Nov-91,University of New Mexico,,,Milwaukee Bucks,,,
496,Marreese Speights,4-Aug-87,University of Florida,,,Orlando Magic,,,
497,Tiago Splitter,1-Jan-85,,,,Free Agent,,,
498,Nik Stauskas,7-Oct-93,University of Michigan,,,Brooklyn Nets,,,
499,Lance Stephenson,5-Sep-90,University of Cincinnati,,,Indiana Pacers,,,
500,Jarnell Stokes,7-Jan-94,University of Tennessee,,,Free Agent,,,
501,Diamond Stone,10-Feb-97,University of Maryland,,,Free Agent,,,
502,Julyan Stone,7-Dec-88,University of Texas at El Paso,,,Charlotte Bobcats,,,
503,Rodney Stuckey,21-Apr-86,Eastern Washington University,,,Free Agent,,,
504,Jared Sullinger,4-Mar-92,Ohio State University,,,Free Agent,,,
505,Caleb Swanigan,18-Apr-97,Purdue University,,,Portland Trail Blazers,,,
506,Jayson Tatum,3-Mar-98,Duke University,,,Boston Celtics,,,
507,Edy Tavares,22-Mar-92,,,,Free Agent,,,
508,Isaiah Taylor,11-Jul-94,University of Texas at Austin,,,Atlanta Hawks,,,
509,Jeff Teague,10-Jun-88,Wake Forest University,,,Minnesota Timberwolves,,,
510,Mirza Teletovic,18-Sep-85,,,,Free Agent,,,
511,Garrett Temple,8-May-86,Louisiana State University,,,Sacramento Kings,,,
512,Milos Teodosic,19-Mar-87,,,,Los Angeles Clippers,,,
513,Jason Terry,15-Sep-77,University of Arizona,,,Milwaukee Bucks,,,
514,Daniel Theis,4-Apr-92,,,,Boston Celtics,,,
515,Isaiah Thomas,7-Feb-89,University of Washington,,,Los Angeles Lakers,,,
516,Lance Thomas,24-Apr-88,Duke University,,,New York Knicks,,,
517,Hollis Thompson,3-Apr-91,Georgetown University,,,Free Agent,,,
518,Klay Thompson,8-Feb-90,Washington State University,,,Golden State Warriors,,,
519,Tristan Thompson,13-Mar-91,University of Texas at Austin,,,Cleveland Cavaliers,,,
520,Marcus Thornton,5-Jun-87,Louisiana State University,,,Free Agent,,,
521,Sindarius Thornwell,15-Nov-94,University of South Carolina,,,Los Angeles Clippers,,,
522,Mike Tobey,10-Oct-94,University of Virginia,,,Free Agent,,,
523,Anthony Tolliver,1-Jun-85,Creighton University,,,Detroit Pistons,,,
524,Axel Toupane,23-Jul-92,,,,Free Agent,,,
525,Karl-Anthony Towns,15-Nov-95,University of Kentucky,,,Minnesota Timberwolves,,,
526,P.J. Tucker,5-May-85,University of Texas at Austin,,,Houston Rockets,,,
527,Evan Turner,27-Oct-88,Ohio State University,,,Portland Trail Blazers,,,
528,Myles Turner,24-Mar-96,University of Texas at Austin,,,Indiana Pacers,,,
529,Ekpe Udoh,20-May-87,Baylor University,,,Utah Jazz,,,
530,Beno Udrih,5-Jul-82,,,,Free Agent,,,
531,Tyler Ulis,5-Jan-96,University of Kentucky,,,Phoenix Suns,,,
532,Jarrod Uthoff,19-May-93,University of Iowa,,,Free Agent,,,
533,Jonas Valanciunas,6-May-92,,,,Free Agent,,,
534,Denzel Valentine,16-Nov-93,Michigan State University,,,Chicago Bulls,,,
535,Fred VanVleet,25-Feb-94,Wichita State University,,,Toronto Raptors,,,
536,Anderson Varejao,28-Sep-82,,,,Free Agent,,,
537,Greivis Vasquez,16-Jan-87,University of Maryland,,,Free Agent,,,
538,Rashad Vaughn,16-Aug-96,"University of Nevada, Las Vegas",,,Orlando Magic,,,
539,Noah Vonleh,24-Aug-95,Indiana University,,,Chicago Bulls,,,
540,Nikola Vucevic,24-Oct-90,University of Southern California,,,Free Agent,,,
541,Sasha Vujacic,8-Mar-84,,,,Free Agent,,,
542,Dwyane Wade,17-Jan-82,Marquette University,,,Miami Heat,,,
543,Dion Waiters,10-Dec-91,Syracuse University,,,Miami Heat,,,
544,Kemba Walker,8-May-90,University of Connecticut,,,Charlotte Bobcats,,,
545,John Wall,6-Sep-90,University of Kentucky,,,Free Agent,,,
546,Taurean Waller-Prince,22-Mar-94,Baylor University,,,Free Agent,,,
547,Derrick Walton,3-Apr-95,University of Michigan,,,Miami Heat,,,
548,T.J. Warren,5-Sep-93,North Carolina State University,,,Phoenix Suns,,,
549,C.J. Watson,17-Apr-84,University of Tennessee,,,Free Agent,,,
550,Briante Weber,29-Dec-92,Virginia Commonwealth University,,,Memphis Grizzlies,,,
551,David West,29-Aug-80,Xavier University,,,Golden State Warriors,,,
552,Russell Westbrook,12-Nov-88,"University of California, Los Angeles",,,Oklahoma City Thunder,,,
553,Derrick White,2-Jul-94,University of Colorado,,,San Antonio Spurs,,,
554,Okaro White,13-Aug-92,Florida State University,,,Miami Heat,,,
555,Isaiah Whitehead,8-Mar-95,Seton Hall University,,,Brooklyn Nets,,,
556,Hassan Whiteside,13-Jun-89,Marshall University,,,Miami Heat,,,
557,Andrew Wiggins,23-Feb-95,University of Kansas,,,Minnesota Timberwolves,,,
558,C.J. Wilcox,30-Dec-90,University of Washington,,,Free Agent,,,
559,Jacob Wiley,4-Sep-94,Eastern Washington University,,,Brooklyn Nets,,,
560,Damien Wilkins,11-Jan-80,University of Georgia,,,Indiana Pacers,,,
561,Alan Williams,28-Jan-93,"University of California, Santa Barbara",,,Phoenix Suns,,,
562,C.J. Williams,6-Feb-90,North Carolina State University,,,Los Angeles Clippers,,,
563,Deron Williams,26-Jun-84,University of Illinois at Urbana-Champaign,,,Free Agent,,,
564,Derrick Williams,25-May-91,University of Arizona,,,Los Angeles Lakers,,,
565,Lou Williams,27-Oct-86,,,,Los Angeles Clippers,,,
566,Marvin Williams,19-Jun-86,University of North Carolina,,,Charlotte Bobcats,,,
567,Matt Williams,14-Oct-93,University of Central Florida,,,Miami Heat,,,
568,Reggie Williams,14-Sep-86,Virginia Military Institute,,,Free Agent,,,
569,Troy Williams,30-Dec-94,Indiana University,,,New York Knicks,,,
570,D.J. Wilson,19-Feb-96,University of Michigan,,,Milwaukee Bucks,,,
571,Jamil Wilson,21-Nov-90,Marquette University,,,Los Angeles Clippers,,,
572,Kyle Wiltjer,20-Oct-92,Gonzaga University,,,Free Agent,,,
573,Justise Winslow,26-Mar-96,Duke University,,,Miami Heat,,,
574,Jeff Withey,7-Mar-90,University of Kansas,,,Dallas Mavericks,,,
575,Nate Wolters,15-May-91,South Dakota State University,,,Utah Jazz,,,
576,Christian Wood,27-Sep-95,"University of Nevada, Las Vegas",,,Free Agent,,,
577,Metta World Peace,13-Nov-79,St. John's University,,,Free Agent,,,
578,Brandan Wright,5-Oct-87,University of North Carolina,,,Houston Rockets,,,
579,Delon Wright,26-Apr-92,University of Utah,,,Toronto Raptors,,,
580,Guerschon Yabusele,17-Dec-95,,,,Boston Celtics,,,
581,James Young,16-Aug-95,University of Kentucky,,,Philadelphia 76ers,,,
582,Joe Young,27-Jun-92,University of Oregon,,,Free Agent,,,
583,Nick Young,1-Jun-85,University of Southern California,,,Golden State Warriors,,,
584,Thaddeus Young,21-Jun-88,Georgia Institute of Technology,,,Indiana Pacers,,,
585,Cody Zeller,5-Oct-92,Indiana University,,,Charlotte Bobcats,,,
586,Tyler Zeller,17-Jan-90,University of North Carolina,,,Milwaukee Bucks,,,
587,Stephen Zimmerman,9-Sep-96,"University of Nevada, Las Vegas",,,Free Agent,,,
588,Paul Zipser,18-Feb-94,,,,Chicago Bulls,,,
589,Ante Zizic,4-Jan-97,,,,Free Agent,,,
590,Ivica Zubac,18-Mar-97,,,,Los Angeles Lakers,,,
