gid,date_time_start,stadium,is_playoff,home_team,away_team,home_points,away_points
43061SAC,22/11/17 10:30,Power Balance Pavilion,FALSE,Sacramento Kings,Los Angeles Lakers,113,102
43063ATL,24/11/17 7:30,Philips Arena,FALSE,Atlanta Hawks,New York Knicks,116,104
43063BOS,24/11/17 7:30,TD Garden,FALSE,Boston Celtics,Orlando Magic,118,103
43063CLE,24/11/17 8:00,Quicken Loans Arena,FALSE,Cleveland Cavaliers,Charlotte Hornets,100,99
43063IND,24/11/17 8:00,Bankers Life Fieldhouse,FALSE,Indiana Pacers,Toronto Raptors,107,102
43063MIN,24/11/17 8:00,Target Center,FALSE,Minnesota Timberwolves,Miami Heat,97,109
43063OKC,24/11/17 8:00,Chesapeake Energy Arena,FALSE,Oklahoma City Thunder,Detroit Pistons,98,99
43063DEN,24/11/17 9:00,Pepsi Center,FALSE,Denver Nuggets,Memphis Grizzlies,104,92
43063PHO,24/11/17 9:00,US Airways Center,FALSE,Phoenix Suns,New Orleans Pelicans,91,115
43063BKN,24/11/17 10:00,Barclays Center,FALSE,Brooklyn Nets,Portland Trail Blazers,125,127
43063GS,24/11/17 10:30,Oracle Arena,FALSE,Golden State Warriors,Chicago Bulls,143,94
43064CHA,25/11/17 7:00,Time Warner Cable Arena,FALSE,Charlotte Hornets,San Antonio Spurs,86,106
43064PHI,25/11/17 7:00,Wells Fargo Center,FALSE,Philadelphia 76ers,Orlando Magic,130,111
43064WAS,25/11/17 7:00,Verizon Center,FALSE,Washington Wizards,Portland Trail Blazers,105,108
43064ATL,25/11/17 7:30,Philips Arena,FALSE,Atlanta Hawks,Toronto Raptors,78,112
43064HOU,25/11/17 8:00,Toyota Center,FALSE,Houston Rockets,New York Knicks,117,102
43064IND,25/11/17 8:00,Bankers Life Fieldhouse,FALSE,Indiana Pacers,Boston Celtics,98,108
43064DAL,25/11/17 8:30,American Airlines Center,FALSE,Dallas Mavericks,Oklahoma City Thunder,97,81
43064GS,25/11/17 8:30,Oracle Arena,FALSE,Golden State Warriors,New Orleans Pelicans,110,95
43064UTA,25/11/17 9:00,EnergySolutions Arena,FALSE,Utah Jazz,Milwaukee Bucks,121,108
43064SAC,25/11/17 10:00,Power Balance Pavilion,FALSE,Sacramento Kings,Los Angeles Clippers,95,97
43065CHI,26/11/17 3:30,United Center,FALSE,Chicago Bulls,Miami Heat,93,100
43065MIN,26/11/17 3:30,Target Center,FALSE,Minnesota Timberwolves,Phoenix Suns,119,108
43065MEM,26/11/17 6:00,FedExForum,FALSE,Memphis Grizzlies,Brooklyn Nets,88,98
43066IND,27/11/17 7:00,Bankers Life Fieldhouse,FALSE,Indiana Pacers,Orlando Magic,121,109
43066PHI,27/11/17 7:00,Wells Fargo Center,FALSE,Philadelphia 76ers,Cleveland Cavaliers,91,113
43066BOS,27/11/17 7:30,TD Garden,FALSE,Boston Celtics,Detroit Pistons,108,118
43066NY,27/11/17 7:30,Madison Square Garden,FALSE,New York Knicks,Portland Trail Blazers,91,103
43066HOU,27/11/17 8:00,Toyota Center,FALSE,Houston Rockets,Brooklyn Nets,117,103
43066SA,27/11/17 8:30,AT&T Center,FALSE,San Antonio Spurs,Dallas Mavericks,115,108
43066GS,27/11/17 10:30,Oracle Arena,FALSE,Golden State Warriors,Sacramento Kings,106,110
43066LAC,27/11/17 10:30,Staples Center,FALSE,Los Angeles Clippers,Los Angeles Lakers,120,115
43067CLE,28/11/17 7:00,Quicken Loans Arena,FALSE,Cleveland Cavaliers,Miami Heat,108,97
43067CHI,28/11/17 8:00,United Center,FALSE,Chicago Bulls,Phoenix Suns,99,104
43067MIN,28/11/17 8:00,Target Center,FALSE,Minnesota Timberwolves,Washington Wizards,89,92
43067SAC,28/11/17 10:00,Power Balance Pavilion,FALSE,Sacramento Kings,Milwaukee Bucks,87,112
43067UTA,28/11/17 10:00,EnergySolutions Arena,FALSE,Utah Jazz,Denver Nuggets,106,77
43068DET,29/11/17 7:00,The Palace of Auburn Hills,FALSE,Detroit Pistons,Phoenix Suns,131,107
43068ORL,29/11/17 7:00,Amway Center,FALSE,Orlando Magic,Oklahoma City Thunder,121,108
43068PHI,29/11/17 7:00,Wells Fargo Center,FALSE,Philadelphia 76ers,Washington Wizards,118,113
43068NY,29/11/17 7:30,Madison Square Garden,FALSE,New York Knicks,Miami Heat,115,86
43068TOR,29/11/17 7:30,Air Canada Centre,FALSE,Toronto Raptors,Charlotte Hornets,126,113
43068HOU,29/11/17 8:00,Toyota Center,FALSE,Houston Rockets,Indiana Pacers,118,97
43068NO,29/11/17 8:00,New Orleans Arena,FALSE,New Orleans Pelicans,Minnesota Timberwolves,102,120
43068DAL,29/11/17 8:30,American Airlines Center,FALSE,Dallas Mavericks,Brooklyn Nets,104,109
43068SA,29/11/17 8:30,AT&T Center,FALSE,San Antonio Spurs,Memphis Grizzlies,104,95
43068LAL,29/11/17 10:30,Staples Center,FALSE,Los Angeles Lakers,Golden State Warriors,123,127
43069ATL,30/11/17 7:30,Philips Arena,FALSE,Atlanta Hawks,Cleveland Cavaliers,114,121
43069BOS,30/11/17 7:30,TD Garden,FALSE,Boston Celtics,Philadelphia 76ers,108,97
43069DEN,30/11/17 9:00,Pepsi Center,FALSE,Denver Nuggets,Chicago Bulls,111,110
43069POR,30/11/17 10:00,Rose Garden,FALSE,Portland Trail Blazers,Milwaukee Bucks,91,103
43069LAC,30/11/17 10:30,Staples Center,FALSE,Los Angeles Clippers,Utah Jazz,107,126
43070ORL,1/12/17 7:00,Amway Center,FALSE,Orlando Magic,Golden State Warriors,112,133
43070WAS,1/12/17 7:00,Verizon Center,FALSE,Washington Wizards,Detroit Pistons,109,91
43070TOR,1/12/17 7:30,Air Canada Centre,FALSE,Toronto Raptors,Indiana Pacers,120,115
43070CHI,1/12/17 8:00,United Center,FALSE,Chicago Bulls,Sacramento Kings,106,107
43070MEM,1/12/17 8:00,FedExForum,FALSE,Memphis Grizzlies,San Antonio Spurs,79,95
43070MIA,1/12/17 8:00,AmericanAirlines Arena,FALSE,Miami Heat,Charlotte Hornets,105,100
43070OKC,1/12/17 8:00,Chesapeake Energy Arena,FALSE,Oklahoma City Thunder,Minnesota Timberwolves,111,107
43070UTA,1/12/17 9:00,EnergySolutions Arena,FALSE,Utah Jazz,New Orleans Pelicans,114,108
43071BOS,2/12/17 1:00,TD Garden,FALSE,Boston Celtics,Phoenix Suns,116,111
43071DAL,2/12/17 2:00,American Airlines Center,FALSE,Dallas Mavericks,Los Angeles Clippers,108,82
43071BKN,2/12/17 3:00,Barclays Center,FALSE,Brooklyn Nets,Atlanta Hawks,102,114
43071CLE,2/12/17 7:30,Quicken Loans Arena,FALSE,Cleveland Cavaliers,Memphis Grizzlies,116,111
43071PHI,2/12/17 7:30,Wells Fargo Center,FALSE,Philadelphia 76ers,Detroit Pistons,108,103
43071MIL,2/12/17 8:30,Bradley Center,FALSE,Milwaukee Bucks,Sacramento Kings,109,104
43071DEN,2/12/17 9:00,Pepsi Center,FALSE,Denver Nuggets,Los Angeles Lakers,115,100
43071POR,2/12/17 10:00,Rose Garden,FALSE,Portland Trail Blazers,New Orleans Pelicans,116,123
43072NY,3/12/17 3:30,Madison Square Garden,FALSE,New York Knicks,Orlando Magic,100,105
43072MIA,3/12/17 7:00,AmericanAirlines Arena,FALSE,Miami Heat,Golden State Warriors,95,123
43072MIN,3/12/17 7:00,Target Center,FALSE,Minnesota Timberwolves,Los Angeles Clippers,112,106
43072OKC,3/12/17 7:00,Chesapeake Energy Arena,FALSE,Oklahoma City Thunder,San Antonio Spurs,90,87
43072LAL,3/12/17 9:30,Staples Center,FALSE,Los Angeles Lakers,Houston Rockets,95,118
43073CHA,4/12/17 7:00,Time Warner Cable Arena,FALSE,Charlotte Hornets,Orlando Magic,104,94
43073IND,4/12/17 7:00,Bankers Life Fieldhouse,FALSE,Indiana Pacers,New York Knicks,115,97
43073PHI,4/12/17 7:00,Wells Fargo Center,FALSE,Philadelphia 76ers,Phoenix Suns,101,115
43073ATL,4/12/17 7:30,Philips Arena,FALSE,Atlanta Hawks,Brooklyn Nets,90,110
43073BOS,4/12/17 7:30,TD Garden,FALSE,Boston Celtics,Milwaukee Bucks,111,100
43073CHI,4/12/17 8:00,United Center,FALSE,Chicago Bulls,Cleveland Cavaliers,91,113
43073MEM,4/12/17 8:00,FedExForum,FALSE,Memphis Grizzlies,Minnesota Timberwolves,95,92
43073NO,4/12/17 8:00,New Orleans Arena,FALSE,New Orleans Pelicans,Golden State Warriors,115,125
43073DAL,4/12/17 8:30,American Airlines Center,FALSE,Dallas Mavericks,Denver Nuggets,122,105
43073SA,4/12/17 8:30,AT&T Center,FALSE,San Antonio Spurs,Detroit Pistons,96,93
43073UTA,4/12/17 9:00,EnergySolutions Arena,FALSE,Utah Jazz,Washington Wizards,116,69
43074TOR,5/12/17 7:30,Air Canada Centre,FALSE,Toronto Raptors,Phoenix Suns,126,113
43074OKC,5/12/17 8:00,Chesapeake Energy Arena,FALSE,Oklahoma City Thunder,Utah Jazz,100,94
43074POR,5/12/17 10:00,Rose Garden,FALSE,Portland Trail Blazers,Washington Wizards,92,106
43075CLE,6/12/17 7:00,Quicken Loans Arena,FALSE,Cleveland Cavaliers,Sacramento Kings,101,95
43075IND,6/12/17 7:00,Bankers Life Fieldhouse,FALSE,Indiana Pacers,Chicago Bulls,98,96
43075ORL,6/12/17 7:00,Amway Center,FALSE,Orlando Magic,Atlanta Hawks,110,106
43075BOS,6/12/17 7:30,TD Garden,FALSE,Boston Celtics,Dallas Mavericks,97,90
43075NY,6/12/17 7:30,Madison Square Garden,FALSE,New York Knicks,Memphis Grizzlies,99,88
43075CHA,6/12/17 8:00,Time Warner Cable Arena,FALSE,Charlotte Hornets,Golden State Warriors,87,101
43075MIL,6/12/17 8:00,Bradley Center,FALSE,Milwaukee Bucks,Detroit Pistons,104,100
43075NO,6/12/17 8:00,New Orleans Arena,FALSE,New Orleans Pelicans,Denver Nuggets,123,114
43075SA,6/12/17 8:30,AT&T Center,FALSE,San Antonio Spurs,Miami Heat,117,105
43075LAC,6/12/17 10:30,Staples Center,FALSE,Los Angeles Clippers,Minnesota Timberwolves,107,113
43076PHI,7/12/17 8:00,Wells Fargo Center,FALSE,Philadelphia 76ers,Los Angeles Lakers,104,107
43076PHO,7/12/17 9:00,US Airways Center,FALSE,Phoenix Suns,Washington Wizards,99,109
43076BKN,7/12/17 10:00,Barclays Center,FALSE,Brooklyn Nets,Oklahoma City Thunder,100,95
43076UTA,7/12/17 10:30,EnergySolutions Arena,FALSE,Utah Jazz,Houston Rockets,101,112
43077CHA,8/12/17 7:00,Time Warner Cable Arena,FALSE,Charlotte Hornets,Chicago Bulls,111,119
43077DET,8/12/17 7:00,The Palace of Auburn Hills,FALSE,Detroit Pistons,Golden State Warriors,98,102
43077IND,8/12/17 7:00,Bankers Life Fieldhouse,FALSE,Indiana Pacers,Cleveland Cavaliers,106,102
43077ORL,8/12/17 7:00,Amway Center,FALSE,Orlando Magic,Denver Nuggets,89,103
43077MEM,8/12/17 8:00,FedExForum,FALSE,Memphis Grizzlies,Toronto Raptors,107,116
43077MIL,8/12/17 8:00,Bradley Center,FALSE,Milwaukee Bucks,Dallas Mavericks,109,102
43077NO,8/12/17 8:00,New Orleans Arena,FALSE,New Orleans Pelicans,Sacramento Kings,109,116
43077SA,8/12/17 9:30,AT&T Center,FALSE,San Antonio Spurs,Boston Celtics,105,102
43078LAC,9/12/17 3:30,Staples Center,FALSE,Los Angeles Clippers,Washington Wizards,113,112
43078BKN,9/12/17 6:00,Barclays Center,FALSE,Brooklyn Nets,Miami Heat,89,101
43078CHA,9/12/17 7:00,Time Warner Cable Arena,FALSE,Charlotte Hornets,Los Angeles Lakers,99,110
43078ATL,9/12/17 7:30,Philips Arena,FALSE,Atlanta Hawks,Orlando Magic,117,110
43078CHI,9/12/17 8:00,United Center,FALSE,Chicago Bulls,New York Knicks,104,102
43078CLE,9/12/17 8:00,Quicken Loans Arena,FALSE,Cleveland Cavaliers,Philadelphia 76ers,105,98
43078MIL,9/12/17 8:30,Bradley Center,FALSE,Milwaukee Bucks,Utah Jazz,117,100
43078MEM,9/12/17 9:00,FedExForum,FALSE,Memphis Grizzlies,Oklahoma City Thunder,101,102
43078PHO,9/12/17 9:00,US Airways Center,FALSE,Phoenix Suns,San Antonio Spurs,101,104
43078POR,9/12/17 10:00,Rose Garden,FALSE,Portland Trail Blazers,Houston Rockets,117,124
43079SAC,10/12/17 3:30,Power Balance Pavilion,FALSE,Sacramento Kings,Toronto Raptors,87,102
43079DET,10/12/17 4:00,The Palace of Auburn Hills,FALSE,Detroit Pistons,Boston Celtics,81,91
43079IND,10/12/17 5:00,Bankers Life Fieldhouse,FALSE,Indiana Pacers,Denver Nuggets,126,116
43079MIN,10/12/17 7:00,Target Center,FALSE,Minnesota Timberwolves,Dallas Mavericks,97,92
43079NO,10/12/17 7:00,New Orleans Arena,FALSE,New Orleans Pelicans,Philadelphia 76ers,131,124
43079NY,10/12/17 7:30,Madison Square Garden,FALSE,New York Knicks,Atlanta Hawks,111,107
43080CHI,11/12/17 8:00,United Center,FALSE,Chicago Bulls,Boston Celtics,108,85
43080HOU,11/12/17 8:00,Toyota Center,FALSE,Houston Rockets,New Orleans Pelicans,130,123
43080MEM,11/12/17 8:00,FedExForum,FALSE,Memphis Grizzlies,Miami Heat,82,107
43080OKC,11/12/17 8:00,Chesapeake Energy Arena,FALSE,Oklahoma City Thunder,Charlotte Hornets,103,116
43080GS,11/12/17 10:30,Oracle Arena,FALSE,Golden State Warriors,Portland Trail Blazers,111,104
43080LAC,11/12/17 10:30,Staples Center,FALSE,Los Angeles Clippers,Toronto Raptors,96,91
43081CLE,12/12/17 7:00,Quicken Loans Arena,FALSE,Cleveland Cavaliers,Atlanta Hawks,123,114
43081DET,12/12/17 7:00,The Palace of Auburn Hills,FALSE,Detroit Pistons,Denver Nuggets,84,103
43081NY,12/12/17 7:00,Madison Square Garden,FALSE,New York Knicks,Los Angeles Lakers,113,109
43081BKN,12/12/17 7:30,Barclays Center,FALSE,Brooklyn Nets,Washington Wizards,103,98
43081MIN,12/12/17 8:00,Target Center,FALSE,Minnesota Timberwolves,Philadelphia 76ers,112,118
43081DAL,12/12/17 9:30,American Airlines Center,FALSE,Dallas Mavericks,San Antonio Spurs,95,89
43081SAC,12/12/17 10:00,Power Balance Pavilion,FALSE,Sacramento Kings,Phoenix Suns,99,92
43082IND,13/12/17 7:00,Bankers Life Fieldhouse,FALSE,Indiana Pacers,Oklahoma City Thunder,95,100
43082ORL,13/12/17 7:00,Amway Center,FALSE,Orlando Magic,Los Angeles Clippers,95,106
43082WAS,13/12/17 7:00,Verizon Center,FALSE,Washington Wizards,Memphis Grizzlies,93,87
43082BOS,13/12/17 7:30,TD Garden,FALSE,Boston Celtics,Denver Nuggets,124,118
43082MIA,13/12/17 7:30,AmericanAirlines Arena,FALSE,Miami Heat,Portland Trail Blazers,95,102
43082CHI,13/12/17 8:00,United Center,FALSE,Chicago Bulls,Utah Jazz,103,100
43082NO,13/12/17 8:00,New Orleans Arena,FALSE,New Orleans Pelicans,Milwaukee Bucks,115,108
43082PHO,13/12/17 9:00,US Airways Center,FALSE,Phoenix Suns,Toronto Raptors,109,115
43082HOU,13/12/17 9:30,Toyota Center,FALSE,Houston Rockets,Charlotte Hornets,108,96
43083ATL,14/12/17 7:30,Philips Arena,FALSE,Atlanta Hawks,Detroit Pistons,91,105
43083BKN,14/12/17 7:30,Barclays Center,FALSE,Brooklyn Nets,New York Knicks,104,111
43083CLE,14/12/17 8:00,Quicken Loans Arena,FALSE,Cleveland Cavaliers,Los Angeles Lakers,121,112
43083MIN,14/12/17 8:00,Target Center,FALSE,Minnesota Timberwolves,Sacramento Kings,119,96
43083GS,14/12/17 10:30,Oracle Arena,FALSE,Golden State Warriors,Dallas Mavericks,112,97
43084CHA,15/12/17 7:00,Time Warner Cable Arena,FALSE,Charlotte Hornets,Miami Heat,98,104
43084IND,15/12/17 7:00,Bankers Life Fieldhouse,FALSE,Indiana Pacers,Detroit Pistons,98,104
43084ORL,15/12/17 7:00,Amway Center,FALSE,Orlando Magic,Portland Trail Blazers,88,95
43084PHI,15/12/17 7:00,Wells Fargo Center,FALSE,Philadelphia 76ers,Oklahoma City Thunder,117,119
43084WAS,15/12/17 7:00,Verizon Center,FALSE,Washington Wizards,Los Angeles Clippers,100,91
43084BOS,15/12/17 7:30,TD Garden,FALSE,Boston Celtics,Utah Jazz,95,107
43084TOR,15/12/17 7:30,Air Canada Centre,FALSE,Toronto Raptors,Brooklyn Nets,120,87
43084MEM,15/12/17 8:00,FedExForum,FALSE,Memphis Grizzlies,Atlanta Hawks,96,94
43084MIL,15/12/17 8:00,Bradley Center,FALSE,Milwaukee Bucks,Chicago Bulls,109,115
43084DEN,15/12/17 9:00,Pepsi Center,FALSE,Denver Nuggets,New Orleans Pelicans,117,111
43084HOU,15/12/17 9:30,Toyota Center,FALSE,Houston Rockets,San Antonio Spurs,124,109
43085CHA,16/12/17 7:00,Time Warner Cable Arena,FALSE,Charlotte Hornets,Portland Trail Blazers,91,93
43085CLE,16/12/17 7:30,Quicken Loans Arena,FALSE,Cleveland Cavaliers,Utah Jazz,109,100
43085NY,16/12/17 7:30,Madison Square Garden,FALSE,New York Knicks,Oklahoma City Thunder,111,96
43085HOU,16/12/17 8:00,Toyota Center,FALSE,Houston Rockets,Milwaukee Bucks,115,111
43085MIA,16/12/17 8:00,AmericanAirlines Arena,FALSE,Miami Heat,Los Angeles Clippers,90,85
43085MIN,16/12/17 8:00,Target Center,FALSE,Minnesota Timberwolves,Phoenix Suns,106,108
43085SA,16/12/17 8:30,AT&T Center,FALSE,San Antonio Spurs,Dallas Mavericks,98,96
43085MEM,16/12/17 9:00,FedExForum,FALSE,Memphis Grizzlies,Boston Celtics,93,102
43086TOR,17/12/17 3:30,Air Canada Centre,FALSE,Toronto Raptors,Sacramento Kings,108,93
43086DET,17/12/17 4:00,The Palace of Auburn Hills,FALSE,Detroit Pistons,Orlando Magic,114,110
43086BKN,17/12/17 6:00,Barclays Center,FALSE,Brooklyn Nets,Indiana Pacers,97,109
43086WAS,17/12/17 6:00,Verizon Center,FALSE,Washington Wizards,Cleveland Cavaliers,99,106
43087CHA,18/12/17 7:00,Time Warner Cable Arena,FALSE,Charlotte Hornets,New York Knicks,109,91
43087IND,18/12/17 7:00,Bankers Life Fieldhouse,FALSE,Indiana Pacers,Boston Celtics,111,112
43087ATL,18/12/17 7:30,Philips Arena,FALSE,Atlanta Hawks,Miami Heat,110,104
43087CHI,18/12/17 8:00,United Center,FALSE,Chicago Bulls,Philadelphia 76ers,117,115
43087HOU,18/12/17 8:00,Toyota Center,FALSE,Houston Rockets,Utah Jazz,120,99
43087MIN,18/12/17 8:00,Target Center,FALSE,Minnesota Timberwolves,Portland Trail Blazers,108,107
43087OKC,18/12/17 8:00,Chesapeake Energy Arena,FALSE,Oklahoma City Thunder,Denver Nuggets,95,94
43087DAL,18/12/17 8:30,American Airlines Center,FALSE,Dallas Mavericks,Phoenix Suns,91,97
43087SA,18/12/17 8:30,AT&T Center,FALSE,San Antonio Spurs,Los Angeles Clippers,109,91
43087LAL,18/12/17 10:30,Staples Center,FALSE,Los Angeles Lakers,Golden State Warriors,114,116
43088PHI,19/12/17 7:00,Wells Fargo Center,FALSE,Philadelphia 76ers,Sacramento Kings,95,101
43088WAS,19/12/17 7:00,Verizon Center,FALSE,Washington Wizards,New Orleans Pelicans,116,106
43088MIL,19/12/17 8:00,Bradley Center,FALSE,Milwaukee Bucks,Cleveland Cavaliers,119,116
43089CHA,20/12/17 7:00,Time Warner Cable Arena,FALSE,Charlotte Hornets,Toronto Raptors,111,129
43089ATL,20/12/17 7:30,Philips Arena,FALSE,Atlanta Hawks,Indiana Pacers,95,105
43089BOS,20/12/17 7:30,TD Garden,FALSE,Boston Celtics,Miami Heat,89,90
43089BKN,20/12/17 7:30,Barclays Center,FALSE,Brooklyn Nets,Sacramento Kings,99,104
43089CHI,20/12/17 8:00,United Center,FALSE,Chicago Bulls,Orlando Magic,112,94
43089HOU,20/12/17 8:00,Toyota Center,FALSE,Houston Rockets,Los Angeles Lakers,116,122
43089OKC,20/12/17 8:00,Chesapeake Energy Arena,FALSE,Oklahoma City Thunder,Utah Jazz,107,79
43089DAL,20/12/17 8:30,American Airlines Center,FALSE,Dallas Mavericks,Detroit Pistons,110,93
43089DEN,20/12/17 9:00,Pepsi Center,FALSE,Denver Nuggets,Minnesota Timberwolves,104,112
43089POR,20/12/17 10:00,Rose Garden,FALSE,Portland Trail Blazers,San Antonio Spurs,91,93
43089GS,20/12/17 10:30,Oracle Arena,FALSE,Golden State Warriors,Memphis Grizzlies,97,84
43089LAC,20/12/17 10:30,Staples Center,FALSE,Los Angeles Clippers,Phoenix Suns,108,95
43090CLE,21/12/17 7:00,Quicken Loans Arena,FALSE,Cleveland Cavaliers,Chicago Bulls,115,112
43090PHI,21/12/17 7:00,Wells Fargo Center,FALSE,Philadelphia 76ers,Toronto Raptors,109,114
43090NY,21/12/17 8:00,Madison Square Garden,FALSE,New York Knicks,Boston Celtics,102,93
43090PHO,21/12/17 9:00,US Airways Center,FALSE,Phoenix Suns,Memphis Grizzlies,97,95
43090UTA,21/12/17 10:30,EnergySolutions Arena,FALSE,Utah Jazz,San Antonio Spurs,100,89
43091DET,22/12/17 7:00,The Palace of Auburn Hills,FALSE,Detroit Pistons,New York Knicks,104,101
43091ORL,22/12/17 7:00,Amway Center,FALSE,Orlando Magic,New Orleans Pelicans,97,111
43091BKN,22/12/17 7:30,Barclays Center,FALSE,Brooklyn Nets,Washington Wizards,119,84
43091HOU,22/12/17 8:00,Toyota Center,FALSE,Houston Rockets,Los Angeles Clippers,118,128
43091MIA,22/12/17 8:00,AmericanAirlines Arena,FALSE,Miami Heat,Dallas Mavericks,113,101
43091MIL,22/12/17 8:00,Bradley Center,FALSE,Milwaukee Bucks,Charlotte Hornets,109,104
43091OKC,22/12/17 8:00,Chesapeake Energy Arena,FALSE,Oklahoma City Thunder,Atlanta Hawks,120,117
43091POR,22/12/17 10:00,Rose Garden,FALSE,Portland Trail Blazers,Denver Nuggets,85,102
43091GS,22/12/17 10:30,Oracle Arena,FALSE,Golden State Warriors,Los Angeles Lakers,113,106
43092TOR,23/12/17 5:00,Air Canada Centre,FALSE,Toronto Raptors,Philadelphia 76ers,102,86
43092CHA,23/12/17 7:00,Time Warner Cable Arena,FALSE,Charlotte Hornets,Milwaukee Bucks,111,106
43092IND,23/12/17 7:00,Bankers Life Fieldhouse,FALSE,Indiana Pacers,Brooklyn Nets,123,119
43092WAS,23/12/17 7:00,Verizon Center,FALSE,Washington Wizards,Orlando Magic,130,103
43092ATL,23/12/17 7:30,Philips Arena,FALSE,Atlanta Hawks,Dallas Mavericks,112,107
43092BOS,23/12/17 7:30,TD Garden,FALSE,Boston Celtics,Chicago Bulls,117,92
43092MEM,23/12/17 8:00,FedExForum,FALSE,Memphis Grizzlies,Los Angeles Clippers,115,112
43092MIA,23/12/17 8:00,AmericanAirlines Arena,FALSE,Miami Heat,New Orleans Pelicans,94,109
43092UTA,23/12/17 8:00,EnergySolutions Arena,FALSE,Utah Jazz,Oklahoma City Thunder,89,103
43092GS,23/12/17 8:30,Oracle Arena,FALSE,Golden State Warriors,Denver Nuggets,81,96
43092PHO,23/12/17 9:00,US Airways Center,FALSE,Phoenix Suns,Minnesota Timberwolves,106,115
43092LAL,23/12/17 9:30,Staples Center,FALSE,Los Angeles Lakers,Portland Trail Blazers,92,95
43092SAC,23/12/17 10:00,Power Balance Pavilion,FALSE,Sacramento Kings,San Antonio Spurs,99,108
43094GS,25/12/17 3:00,Oracle Arena,FALSE,Golden State Warriors,Cleveland Cavaliers,99,92
43094BOS,25/12/17 5:30,TD Garden,FALSE,Boston Celtics,Washington Wizards,103,111
43094OKC,25/12/17 8:00,Chesapeake Energy Arena,FALSE,Oklahoma City Thunder,Houston Rockets,112,107
43094NY,25/12/17 10:00,Madison Square Garden,FALSE,New York Knicks,Philadelphia 76ers,98,105
43094LAL,25/12/17 10:30,Staples Center,FALSE,Los Angeles Lakers,Minnesota Timberwolves,104,121
43095DAL,26/12/17 7:00,American Airlines Center,FALSE,Dallas Mavericks,Toronto Raptors,98,93
43095DET,26/12/17 7:00,The Palace of Auburn Hills,FALSE,Detroit Pistons,Indiana Pacers,107,83
43095MIA,26/12/17 7:30,AmericanAirlines Arena,FALSE,Miami Heat,Orlando Magic,107,89
43095MIL,26/12/17 8:00,Bradley Center,FALSE,Milwaukee Bucks,Chicago Bulls,106,115
43095SA,26/12/17 8:30,AT&T Center,FALSE,San Antonio Spurs,Brooklyn Nets,109,97
43095DEN,26/12/17 9:00,Pepsi Center,FALSE,Denver Nuggets,Utah Jazz,107,83
43095PHO,26/12/17 9:00,US Airways Center,FALSE,Phoenix Suns,Memphis Grizzlies,99,97
43095LAC,26/12/17 10:30,Staples Center,FALSE,Los Angeles Clippers,Sacramento Kings,122,95
43096CHA,27/12/17 7:00,Time Warner Cable Arena,FALSE,Charlotte Hornets,Boston Celtics,91,102
43096IND,27/12/17 7:00,Bankers Life Fieldhouse,FALSE,Indiana Pacers,Dallas Mavericks,94,98
43096ATL,27/12/17 7:30,Philips Arena,FALSE,Atlanta Hawks,Washington Wizards,113,99
43096CHI,27/12/17 8:00,United Center,FALSE,Chicago Bulls,New York Knicks,92,87
43096MIN,27/12/17 8:00,Target Center,FALSE,Minnesota Timberwolves,Denver Nuggets,128,125
43096NO,27/12/17 8:00,New Orleans Arena,FALSE,New Orleans Pelicans,Brooklyn Nets,128,113
43096OKC,27/12/17 8:00,Chesapeake Energy Arena,FALSE,Oklahoma City Thunder,Toronto Raptors,124,107
43096SAC,27/12/17 10:00,Power Balance Pavilion,FALSE,Sacramento Kings,Cleveland Cavaliers,109,95
43096GS,27/12/17 10:30,Oracle Arena,FALSE,Golden State Warriors,Utah Jazz,126,101
43096LAL,27/12/17 10:30,Staples Center,FALSE,Los Angeles Lakers,Memphis Grizzlies,99,109
43097ORL,28/12/17 7:00,Amway Center,FALSE,Orlando Magic,Detroit Pistons,102,89
43097BOS,28/12/17 8:00,TD Garden,FALSE,Boston Celtics,Houston Rockets,99,98
43097MIL,28/12/17 8:00,Bradley Center,FALSE,Milwaukee Bucks,Minnesota Timberwolves,102,96
43097SA,28/12/17 8:30,AT&T Center,FALSE,San Antonio Spurs,New York Knicks,119,107
43097POR,28/12/17 10:30,Rose Garden,FALSE,Portland Trail Blazers,Philadelphia 76ers,114,110
43098WAS,29/12/17 7:00,Verizon Center,FALSE,Washington Wizards,Houston Rockets,121,103
43098TOR,29/12/17 7:30,Air Canada Centre,FALSE,Toronto Raptors,Atlanta Hawks,111,98
43098CHI,29/12/17 8:00,United Center,FALSE,Chicago Bulls,Indiana Pacers,119,107
43098MIA,29/12/17 8:00,AmericanAirlines Arena,FALSE,Miami Heat,Brooklyn Nets,87,111
43098NO,29/12/17 8:00,New Orleans Arena,FALSE,New Orleans Pelicans,Dallas Mavericks,120,128
43098OKC,29/12/17 8:00,Chesapeake Energy Arena,FALSE,Oklahoma City Thunder,Milwaukee Bucks,95,97
43098SAC,29/12/17 10:00,Power Balance Pavilion,FALSE,Sacramento Kings,Phoenix Suns,101,111
43098GS,29/12/17 10:30,Oracle Arena,FALSE,Golden State Warriors,Charlotte Hornets,100,111
43098LAL,29/12/17 10:30,Staples Center,FALSE,Los Angeles Lakers,Los Angeles Clippers,106,121
43099DET,30/12/17 7:00,The Palace of Auburn Hills,FALSE,Detroit Pistons,San Antonio Spurs,93,79
43099NO,30/12/17 7:00,New Orleans Arena,FALSE,New Orleans Pelicans,New York Knicks,103,105
